@ NAME             %19s "TRACK.OBS0001.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %02s "r3"
@ ORIGIN           %17s "5.09.03 Darwin 64"
@ DATE             %08s "01/07/24"
@ TIME             %08s "16.21.42"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1         23      0.08254438267     0.001949285595                  0                  0                  0                  0                  0        144.8312451
          1         24      0.01149699697      -0.0097257251                  0                  0                  0                  0                  0        144.8312451
          1         25      -0.0776845578    -0.006060714121                  0                  0                  0                  0                  0        144.8312451
          1         26     -0.04433407954     0.007164418851                  0                  0                  0                  0                  0        144.8312451
          1         27      0.05894268482     0.009088688788                  0                  0                  0                  0                  0        144.8312451
          1         28      0.06925027533    -0.003322533219                  0                  0                  0                  0                  0        144.8312451
          1         29     -0.02966886216     -0.01049262695                  0                  0                  0                  0                  0        144.8312451
          1         30     -0.08179306603    -0.001113457798                  0                  0                  0                  0                  0        144.8312451
          1         31     -0.00490530675      0.01002215922                  0                  0                  0                  0                  0        144.8312451
          1         32      0.07971995821     0.005350331492                  0                  0                  0                  0                  0        144.8312451
          1         33      0.03860263622    -0.007761163387                  0                  0                  0                  0                  0        144.8312451
          1         34     -0.06340099461    -0.008630669347                  0                  0                  0                  0                  0        144.8312451
          1         35     -0.06540308833     0.004113044247                  0                  0                  0                  0                  0        144.8312451
          1         36      0.03575319103      0.01036869242                  0                  0                  0                  0                  0        144.8312451
          1         37      0.08051775567    0.0002704906845                  0                  0                  0                  0                  0        144.8312451
          1         38    -0.001717820503     -0.01025440311                  0                  0                  0                  0                  0        144.8312451
          1         39     -0.08124462919     -0.00460565375                  0                  0                  0                  0                  0        144.8312451
          1         40     -0.03262393939     0.008308176943                  0                  0                  0                  0                  0        144.8312451
          1         41      0.06745315748     0.008117356113                  0                  0                  0                  0                  0        144.8312451
          1         42      0.06113696183     -0.00487718765                  0                  0                  0                  0                  0        144.8312451
          1         43     -0.04160852632     -0.01017835337                  0                  0                  0                  0                  0        144.8312451
          1         44     -0.07872663048    0.0005742107962                  0                  0                  0                  0                  0        144.8312451
          1         45     0.008329966373      0.01042097272                  0                  0                  0                  0                  0        144.8312451
          1         46      0.08224880151     0.003831451794                  0                  0                  0                  0                  0        144.8312451
          1         47      0.02643628175    -0.008801959597                  0                  0                  0                  0                  0        144.8312451
          1         48     -0.07107320474    -0.007552032781                  0                  0                  0                  0                  0        144.8312451
          1         49      -0.0564792302     0.005610067077                  0                  0                  0                  0                  0        144.8312451
          1         50      0.04719735472     0.009922825974                  0                  0                  0                  0                  0        144.8312451
          1         51      0.07643117459    -0.001415230495                  0                  0                  0                  0                  0        144.8312451
          1         52     -0.01488878147     -0.01052080378                  0                  0                  0                  0                  0        144.8312451
          1         53     -0.08272604281    -0.003032686822                  0                  0                  0                  0                  0        144.8312451
          1         54     -0.02007929295     0.009239352915                  0                  0                  0                  0                  0        144.8312451
          1         55      0.07423793636     0.006938316803                  0                  0                  0                  0                  0        144.8312451
          1         56      0.05145973418    -0.006306987638                  0                  0                  0                  0                  0        144.8312451
          1         57     -0.05248386795    -0.009603743182                  0                  0                  0                  0                  0        144.8312451
          1         58     -0.07364610321      0.00224717604                  0                  0                  0                  0                  0        144.8312451
          1         59      0.02135225626      0.01055325851                  0                  0                  0                  0                  0        144.8312451
          1         60      0.08267329871     0.002214478451                  0                  0                  0                  0                  0        144.8312451
          1         61      0.01359368624    -0.009617559909                  0                  0                  0                  0                  0        144.8312451
          1         62     -0.07692707017    -0.006280136446                  0                  0                  0                  0                  0        144.8312451
          1         63     -0.04611062954      0.00696348598                  0                  0                  0                  0                  0        144.8312451
          1         64      0.05743419254     0.009223144482                  0                  0                  0                  0                  0        144.8312451
          1         65       0.0703892678    -0.003064713659                  0                  0                  0                  0                  0        144.8312451
          1         66     -0.02767898979     -0.01051812957                  0                  0                  0                  0                  0        144.8312451
          1         67     -0.08209091225    -0.001382071771                  0                  0                  0                  0                  0        144.8312451
          1         68    -0.007020998166     0.009934162674                  0                  0                  0                  0                  0        144.8312451
          1         69      0.07912337227     0.005581705816                  0                  0                  0                  0                  0        144.8312451
          1         70      0.04046618098    -0.007575358815                  0                  0                  0                  0                  0        144.8312451
          1         71     -0.06201660724    -0.008783463095                  0                  0                  0                  0                  0        144.8312451
          1         72     -0.06668154111     0.003862602591                  0                  0                  0                  0                  0        144.8312451
          1         73       0.0338284547      0.01041564137                  0                  0                  0                  0                  0        144.8312451
          1         74      0.08098262141     0.000540803532                  0                  0                  0                  0                  0        144.8312451
          1         75    0.0004033231256     -0.01018713759                  0                  0                  0                  0                  0        144.8312451
          1         76     -0.08081276787    -0.004847497983                  0                  0                  0                  0                  0        144.8312451
          1         77      -0.0345625428     0.008138689718                  0                  0                  0                  0                  0        144.8312451
          1         78      0.06620174679     0.008287510668                  0                  0                  0                  0                  0        144.8312451
          1         79      0.06254668292    -0.004635728868                  0                  0                  0                  0                  0        144.8312451
          1         80     -0.03976125668     -0.01024644869                  0                  0                  0                  0                  0        144.8312451
          1         81     -0.07935553472    0.0003039322916                  0                  0                  0                  0                  0        144.8312451
          1         82     0.006216955706      0.01037486803                  0                  0                  0                  0                  0        144.8312451
          1         83      0.08198443175     0.004082216395                  0                  0                  0                  0                  0        144.8312451
          1         84       0.0284375275    -0.008649874029                  0                  0                  0                  0                  0        144.8312451
          1         85     -0.06996279061    -0.007738459552                  0                  0                  0                  0                  0        144.8312451
          1         86     -0.05801118738     0.005379138228                  0                  0                  0                  0                  0        144.8312451
          1         87      0.04543938691      0.01001163255                  0                  0                  0                  0                  0        144.8312451
          1         88      0.07722008523    -0.001146719328                  0                  0                  0                  0                  0        144.8312451
          1         89     -0.01279743732     -0.01049615449                  0                  0                  0                  0                  0        144.8312451
          1         90     -0.08263085777    -0.003290764738                  0                  0                  0                  0                  0        144.8312451
          1         91     -0.02213036394     0.009105641711                  0                  0                  0                  0                  0        144.8312451
          1         92      0.07327563522     0.007139822744                  0                  0                  0                  0                  0        144.8312451
          1         93      0.05310411294    -0.006088067941                  0                  0                  0                  0                  0        144.8312451
          1         94     -0.05082646574    -0.009712693458                  0                  0                  0                  0                  0        144.8312451
          1         95     -0.07458996313     0.001982153791                  0                  0                  0                  0                  0        144.8312451
          1         96        0.019295974      0.01055022208                  0                  0                  0                  0                  0        144.8312451
          1         97      0.08274790697     0.002478215455                  0                  0                  0                  0                  0        144.8312451
          1         98      0.01568144647     -0.00950307803                  0                  0                  0                  0                  0        144.8312451
          1         99     -0.07611904921    -0.006495431634                  0                  0                  0                  0                  0        144.8312451
          1        100     -0.04785689598      0.00675797735                  0                  0                  0                  0                  0        144.8312451
          1        101      0.05588797601     0.009351542035                  0                  0                  0                  0                  0        144.8312451
          1        102       0.0714820274    -0.002804879381                  0                  0                  0                  0                  0        144.8312451
          1        103     -0.02567094091      -0.0105367254                  0                  0                  0                  0                  0        144.8312451
          1        104     -0.08233483398    -0.001649777107                  0                  0                  0                  0                  0        144.8312451
          1        105    -0.009132076764      0.00983964195                  0                  0                  0                  0                  0        144.8312451
          1        106      0.07847480981     0.005809411656                  0                  0                  0                  0                  0        144.8312451
          1        107      0.04230314931    -0.007384576908                  0                  0                  0                  0                  0        144.8312451
          1        108      -0.0605914846    -0.008930486996                  0                  0                  0                  0                  0        144.8312451
          1        109     -0.06791619726     0.003609621847                  0                  0                  0                  0                  0        144.8312451
          1        110      0.03188150249      0.01045575067                  0                  0                  0                  0                  0        144.8312451
          1        111      0.08139429154    0.0008107608237                  0                  0                  0                  0                  0        144.8312451
          1        112     0.002524199762     -0.01011318212                  0                  0                  0                  0                  0        144.8312451
          1        113     -0.08032782005    -0.005086156008                  0                  0                  0                  0                  0        144.8312451
          1        114     -0.03647844695     0.007963855551                  0                  0                  0                  0                  0        144.8312451
          1        115      0.06490685074     0.008452220657                  0                  0                  0                  0                  0        144.8312451
          1        116      0.06391532401    -0.004391223004                  0                  0                  0                  0                  0        144.8312451
          1        117     -0.03788787386      -0.0103078152                  0                  0                  0                  0                  0        144.8312451
          1        118     -0.07993231312    3.345396405e-05                  0                  0                  0                  0                  0        144.8312451
          1        119     0.004099864377       0.0103219504                  0                  0                  0                  0                  0        144.8312451
          1        120      0.08166620583     0.004330297596                  0                  0                  0                  0                  0        144.8312451
          1        121      0.03042009639    -0.008492106223                  0                  0                  0                  0                  0        144.8312451
          1        122     -0.06880641962    -0.007919801966                  0                  0                  0                  0                  0        144.8312451
          1        123     -0.05950504412     0.005144673941                  0                  0                  0                  0                  0        144.8312451
          1        124      0.04365157568      0.01009386417                  0                  0                  0                  0                  0        144.8312451
          1        125       0.0779582738   -0.0008774542497                  0                  0                  0                  0                  0        144.8312451
          1        126     -0.01069769082      -0.0104646128                  0                  0                  0                  0                  0        144.8312451
          1        127     -0.08248139218    -0.003546679367                  0                  0                  0                  0                  0        144.8312451
          1        128     -0.02416689996     0.008965949403                  0                  0                  0                  0                  0        144.8312451
          1        129      0.07226520021     0.007336637185                  0                  0                  0                  0                  0        144.8312451
          1        130      0.05471361464    -0.005865147224                  0                  0                  0                  0                  0        144.8312451
          1        131     -0.04913568084    -0.009815264693                  0                  0                  0                  0                  0        144.8312451
          1        132     -0.07548482964     0.001715828412                  0                  0                  0                  0                  0        144.8312451
