@ NAME             %19s "TRACK.OBS0002.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.09.03 Darwin 64"
@ DATE             %08s "26/06/24"
@ TIME             %08s "17.26.05"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1         29      0.07512073575     0.004533935119      0.01688716443     0.002688904095                  0                  0        8.047186378        140.3052687
          1         30      0.04946135425    -0.008726915485    -0.004656142728     0.003131969395                  0                  0        8.047186378        140.3052687
          1         31     -0.05424655457    -0.008218973331       -0.024030124     0.002054120872                  0                  0        8.047186378        140.3052687
          1         32     -0.07236092037     0.005256787899     -0.03174784018   -1.393587048e-05                  0                  0        8.047186378        140.3052687
          1         33      0.02369524732      0.01043877255     -0.02406718333    -0.002069897249                  0                  0        8.047186378        140.3052687
          1         34      0.08236265624   -0.0008504218339    -0.004880551767     -0.00313361441                  0                  0        8.047186378        140.3052687
          1         35      0.01107674928     -0.01079709338      0.01675672984    -0.002680460421                  0                  0        8.047186378        140.3052687
          1         36     -0.07768228942    -0.003708860739      0.03031114065   -0.0009257170391                  0                  0        8.047186378        140.3052687
          1         37     -0.04388017863     0.009231781255      0.02911400992     0.001265563186                  0                  0        8.047186378        140.3052687
          1         38       0.0591591012     0.007605803174      0.01394879265      0.00285245201                  0                  0        8.047186378        140.3052687
          1         39      0.06885933236      -0.0060201145    -0.007972453865     0.003061862571                  0                  0        8.047186378        140.3052687
          1         40     -0.03009448483     -0.01014796568      -0.0261089381     0.001785677445                  0                  0        8.047186378        140.3052687
          1         41     -0.08155666461     0.001735693916     -0.03156084379   -0.0003498970772                  0                  0        8.047186378        140.3052687
          1         42    -0.004343162578      0.01088112923     -0.02174239504    -0.002312611121                  0                  0        8.047186378        140.3052687
          1         43      0.07972330992     0.002857401168    -0.001530658321    -0.003166497406                  0                  0        8.047186378        140.3052687
          1         44      0.03800505933    -0.009673770363      0.01954807622    -0.002483953992                  0                  0        8.047186378        140.3052687
          1         45      -0.0636784711     -0.00694259953      0.03113664004   -0.0005991654216                  0                  0        8.047186378        140.3052687
          1         46     -0.06489131999     0.006743280484      0.02761379927     0.001566327552                  0                  0        8.047186378        140.3052687
          1         47      0.03628626079     0.009789128945      0.01085059607     0.002983610131                  0                  0        8.047186378        140.3052687
          1         48      0.08021030157    -0.002610088597     -0.01119789504     0.002957058961                  0                  0        8.047186378        140.3052687
